"Date","category","n","perc","Stratification","Group","Organisation"
2025-07-31,"Overweight",7,28,"governorate","Khan Younis","Overall"
2025-07-31,"Overweight",8,30.7692307692308,"governorate","North Gaza","Overall"
2025-07-31,"Overweight",7,21.2121212121212,"governorate","Rafah","Overall"
2025-07-31,"Underweight",3,16.6666666666667,"governorate","Deir al Balah","Overall"
2025-07-31,"Underweight",4,14.2857142857143,"governorate","Gaza City","Overall"
2025-07-31,"Underweight",3,12,"governorate","Khan Younis","Overall"
2025-07-31,"Underweight",5,19.2307692307692,"governorate","North Gaza","Overall"
2025-07-31,"Underweight",8,24.2424242424242,"governorate","Rafah","Overall"
2025-08-01,"Normal",10,47.6190476190476,"governorate","Deir al Balah","Overall"
2025-08-01,"Normal",10,38.4615384615385,"governorate","Gaza City","Overall"
2025-08-01,"Normal",17,70.8333333333333,"governorate","Khan Younis","Overall"
2025-08-01,"Normal",12,48,"governorate","North Gaza","Overall"
2025-08-01,"Normal",14,48.2758620689655,"governorate","Rafah","Overall"
2025-08-01,"Obese",1,4.76190476190476,"governorate","Deir al Balah","Overall"
2025-08-01,"Obese",2,7.69230769230769,"governorate","Gaza City","Overall"
2025-08-01,"Obese",1,4,"governorate","North Gaza","Overall"
2025-08-01,"Overweight",5,23.8095238095238,"governorate","Deir al Balah","Overall"
2025-08-01,"Overweight",11,42.3076923076923,"governorate","Gaza City","Overall"
2025-08-01,"Overweight",5,20.8333333333333,"governorate","Khan Younis","Overall"
2025-08-01,"Overweight",8,32,"governorate","North Gaza","Overall"
2025-08-01,"Overweight",7,24.1379310344828,"governorate","Rafah","Overall"
2025-08-01,"Underweight",5,23.8095238095238,"governorate","Deir al Balah","Overall"
2025-08-01,"Underweight",3,11.5384615384615,"governorate","Gaza City","Overall"
2025-08-01,"Underweight",2,8.33333333333333,"governorate","Khan Younis","Overall"
2025-08-01,"Underweight",4,16,"governorate","North Gaza","Overall"
2025-08-01,"Underweight",8,27.5862068965517,"governorate","Rafah","Overall"
2025-08-02,"Normal",12,57.1428571428571,"governorate","Deir al Balah","Overall"
2025-08-02,"Normal",15,53.5714285714286,"governorate","Gaza City","Overall"
2025-08-02,"Normal",19,63.3333333333333,"governorate","Khan Younis","Overall"
2025-08-02,"Normal",10,45.4545454545455,"governorate","North Gaza","Overall"
2025-08-02,"Normal",18,60,"governorate","Rafah","Overall"
2025-08-02,"Obese",1,4.76190476190476,"governorate","Deir al Balah","Overall"
2025-08-02,"Obese",3,10.7142857142857,"governorate","Gaza City","Overall"
2025-08-02,"Obese",1,3.33333333333333,"governorate","Khan Younis","Overall"
2025-08-02,"Obese",1,4.54545454545455,"governorate","North Gaza","Overall"
2025-08-02,"Overweight",4,19.047619047619,"governorate","Deir al Balah","Overall"
2025-08-02,"Overweight",7,25,"governorate","Gaza City","Overall"
2025-08-02,"Overweight",7,23.3333333333333,"governorate","Khan Younis","Overall"
2025-08-02,"Overweight",7,31.8181818181818,"governorate","North Gaza","Overall"
2025-08-02,"Overweight",4,13.3333333333333,"governorate","Rafah","Overall"
2025-08-02,"Underweight",4,19.047619047619,"governorate","Deir al Balah","Overall"
2025-08-02,"Underweight",3,10.7142857142857,"governorate","Gaza City","Overall"
2025-08-02,"Underweight",3,10,"governorate","Khan Younis","Overall"
2025-08-02,"Underweight",4,18.1818181818182,"governorate","North Gaza","Overall"
2025-08-02,"Underweight",8,26.6666666666667,"governorate","Rafah","Overall"
2025-08-03,"Normal",12,63.1578947368421,"governorate","Deir al Balah","Overall"
2025-08-03,"Normal",11,40.7407407407407,"governorate","Gaza City","Overall"
2025-08-03,"Normal",19,70.3703703703704,"governorate","Khan Younis","Overall"
2025-08-03,"Normal",10,40,"governorate","North Gaza","Overall"
2025-08-03,"Normal",18,54.5454545454545,"governorate","Rafah","Overall"
2025-08-03,"Obese",1,5.26315789473684,"governorate","Deir al Balah","Overall"
2025-08-03,"Obese",1,3.7037037037037,"governorate","Gaza City","Overall"
2025-08-03,"Obese",1,3.7037037037037,"governorate","Khan Younis","Overall"
2025-08-03,"Obese",1,4,"governorate","North Gaza","Overall"
2025-08-03,"Overweight",5,26.3157894736842,"governorate","Deir al Balah","Overall"
2025-08-03,"Overweight",11,40.7407407407407,"governorate","Gaza City","Overall"
2025-08-03,"Overweight",5,18.5185185185185,"governorate","Khan Younis","Overall"
2025-08-03,"Overweight",9,36,"governorate","North Gaza","Overall"
2025-08-03,"Overweight",9,27.2727272727273,"governorate","Rafah","Overall"
2025-08-03,"Underweight",1,5.26315789473684,"governorate","Deir al Balah","Overall"
2025-08-03,"Underweight",4,14.8148148148148,"governorate","Gaza City","Overall"
2025-08-03,"Underweight",2,7.40740740740741,"governorate","Khan Younis","Overall"
2025-08-03,"Underweight",5,20,"governorate","North Gaza","Overall"
2025-08-03,"Underweight",6,18.1818181818182,"governorate","Rafah","Overall"
2025-08-04,"Normal",7,43.75,"governorate","Deir al Balah","Overall"
2025-08-04,"Normal",11,45.8333333333333,"governorate","Gaza City","Overall"
2025-08-04,"Normal",21,65.625,"governorate","Khan Younis","Overall"
2025-08-04,"Normal",11,50,"governorate","North Gaza","Overall"
2025-08-04,"Normal",18,62.0689655172414,"governorate","Rafah","Overall"
2025-08-04,"Obese",1,6.25,"governorate","Deir al Balah","Overall"
2025-08-04,"Obese",1,4.16666666666667,"governorate","Gaza City","Overall"
2025-08-04,"Overweight",3,18.75,"governorate","Deir al Balah","Overall"
2025-08-04,"Overweight",6,25,"governorate","Gaza City","Overall"
2025-08-04,"Overweight",9,28.125,"governorate","Khan Younis","Overall"
2025-08-04,"Overweight",6,27.2727272727273,"governorate","North Gaza","Overall"
2025-08-04,"Overweight",6,20.6896551724138,"governorate","Rafah","Overall"
2025-08-04,"Underweight",5,31.25,"governorate","Deir al Balah","Overall"
2025-08-04,"Underweight",6,25,"governorate","Gaza City","Overall"
2025-08-04,"Underweight",2,6.25,"governorate","Khan Younis","Overall"
2025-08-04,"Underweight",5,22.7272727272727,"governorate","North Gaza","Overall"
2025-08-04,"Underweight",5,17.2413793103448,"governorate","Rafah","Overall"
2025-08-05,"Normal",12,48,"governorate","Deir al Balah","Overall"
2025-08-05,"Normal",16,50,"governorate","Gaza City","Overall"
2025-08-05,"Normal",21,63.6363636363636,"governorate","Khan Younis","Overall"
2025-08-05,"Normal",11,45.8333333333333,"governorate","North Gaza","Overall"
2025-08-05,"Normal",16,57.1428571428571,"governorate","Rafah","Overall"
2025-08-05,"Obese",1,4,"governorate","Deir al Balah","Overall"
2025-08-05,"Obese",3,9.375,"governorate","Gaza City","Overall"
2025-08-05,"Obese",1,3.03030303030303,"governorate","Khan Younis","Overall"
2025-08-05,"Obese",1,4.16666666666667,"governorate","North Gaza","Overall"
2025-08-05,"Overweight",6,24,"governorate","Deir al Balah","Overall"
2025-08-05,"Overweight",8,25,"governorate","Gaza City","Overall"
2025-08-05,"Overweight",7,21.2121212121212,"governorate","Khan Younis","Overall"
2025-08-05,"Overweight",7,29.1666666666667,"governorate","North Gaza","Overall"
2025-08-05,"Overweight",3,10.7142857142857,"governorate","Rafah","Overall"
2025-08-05,"Underweight",6,24,"governorate","Deir al Balah","Overall"
2025-08-05,"Underweight",5,15.625,"governorate","Gaza City","Overall"
2025-08-05,"Underweight",4,12.1212121212121,"governorate","Khan Younis","Overall"
2025-08-05,"Underweight",5,20.8333333333333,"governorate","North Gaza","Overall"
